date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:06	27/27	---M--	200	added ('OK')	text/plain	date:Sat,%2028%20Mar%202015%2020:01:25%20GMT	http://clapat.ro/robots.txt		(from )
23:49:07	36709/36709	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2011:21:48%20GMT	http://clapat.ro/themes/montoya/	D:/Vini/clapat.ro/themes/montoya/index.html	(from )
23:49:08	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2009%20Feb%202017%2009:35:22%20GMT	http://clapat.ro/themes/montoya/favicon.ico	D:/Vini/clapat.ro/themes/montoya/favicon.ico	(from http://clapat.ro/themes/montoya/)
23:49:09	75489/75489	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202024%2011:17:45%20GMT	http://clapat.ro/themes/montoya/style.css	D:/Vini/clapat.ro/themes/montoya/style.css	(from http://clapat.ro/themes/montoya/)
23:49:11	36709/36709	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2011:21:48%20GMT	http://clapat.ro/themes/montoya/index.html	D:/Vini/clapat.ro/themes/montoya/index-2.html	(from http://clapat.ro/themes/montoya/)
23:49:11	102641/102641	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Nov%202023%2020:28:14%20GMT	http://clapat.ro/themes/montoya/css/all.min.css	D:/Vini/clapat.ro/themes/montoya/css/all.min.css	(from http://clapat.ro/themes/montoya/)
23:49:12	1951/1951	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Nov%202023%2011:28:36%20GMT	http://clapat.ro/themes/montoya/images/logo.png	D:/Vini/clapat.ro/themes/montoya/images/logo.png	(from http://clapat.ro/themes/montoya/)
23:49:12	1963/1963	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Nov%202023%2011:28:29%20GMT	http://clapat.ro/themes/montoya/images/logo-white.png	D:/Vini/clapat.ro/themes/montoya/images/logo-white.png	(from http://clapat.ro/themes/montoya/)
23:49:14	37627/37627	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:31:11%20GMT	http://clapat.ro/themes/montoya/index-showcase-grid.html	D:/Vini/clapat.ro/themes/montoya/index-showcase-grid.html	(from http://clapat.ro/themes/montoya/)
23:49:14	42347/42347	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:30:09%20GMT	http://clapat.ro/themes/montoya/index-showcase-gallery.html	D:/Vini/clapat.ro/themes/montoya/index-showcase-gallery.html	(from http://clapat.ro/themes/montoya/)
23:49:15	45023/45023	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:34:26%20GMT	http://clapat.ro/themes/montoya/about.html	D:/Vini/clapat.ro/themes/montoya/about.html	(from http://clapat.ro/themes/montoya/)
23:49:17	26993/26993	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:34:44%20GMT	http://clapat.ro/themes/montoya/contact.html	D:/Vini/clapat.ro/themes/montoya/contact.html	(from http://clapat.ro/themes/montoya/)
23:49:19	50632/50632	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:34:07%20GMT	http://clapat.ro/themes/montoya/typography.html	D:/Vini/clapat.ro/themes/montoya/typography.html	(from http://clapat.ro/themes/montoya/)
23:49:20	49105/49105	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:31:27%20GMT	http://clapat.ro/themes/montoya/multimedia.html	D:/Vini/clapat.ro/themes/montoya/multimedia.html	(from http://clapat.ro/themes/montoya/)
23:49:21	37855/37855	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:33:49%20GMT	http://clapat.ro/themes/montoya/shortcodes.html	D:/Vini/clapat.ro/themes/montoya/shortcodes.html	(from http://clapat.ro/themes/montoya/)
23:49:22	28781/28781	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:31:42%20GMT	http://clapat.ro/themes/montoya/project01.html	D:/Vini/clapat.ro/themes/montoya/project01.html	(from http://clapat.ro/themes/montoya/)
23:49:22	26506/26506	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:31:57%20GMT	http://clapat.ro/themes/montoya/project02.html	D:/Vini/clapat.ro/themes/montoya/project02.html	(from http://clapat.ro/themes/montoya/)
23:49:26	25480/25480	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:32:13%20GMT	http://clapat.ro/themes/montoya/project03.html	D:/Vini/clapat.ro/themes/montoya/project03.html	(from http://clapat.ro/themes/montoya/)
23:49:28	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	D:/Vini/www.google-analytics.com/analytics.js	(from http://clapat.ro/themes/montoya/)
23:49:29	28214/28214	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:32:30%20GMT	http://clapat.ro/themes/montoya/project04.html	D:/Vini/clapat.ro/themes/montoya/project04.html	(from http://clapat.ro/themes/montoya/)
23:49:43	79785/79785	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jan%202024%2007:39:35%20GMT	http://clapat.ro/themes/montoya/images/04hero.jpg	D:/Vini/clapat.ro/themes/montoya/images/04hero.jpg	(from http://clapat.ro/themes/montoya/)
23:49:48	163689/163689	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jan%202024%2007:39:24%20GMT	http://clapat.ro/themes/montoya/images/01hero.jpg	D:/Vini/clapat.ro/themes/montoya/images/01hero.jpg	(from http://clapat.ro/themes/montoya/)
23:49:49	29956/29956	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:32:47%20GMT	http://clapat.ro/themes/montoya/project05.html	D:/Vini/clapat.ro/themes/montoya/project05.html	(from http://clapat.ro/themes/montoya/)
23:50:05	253553/253553	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jan%202024%2007:39:27%20GMT	http://clapat.ro/themes/montoya/images/02hero.jpg	D:/Vini/clapat.ro/themes/montoya/images/02hero.jpg	(from http://clapat.ro/themes/montoya/)
23:50:21	89503/89503	---M--	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2001:58:30%20GMT	http://clapat.ro/themes/montoya/js/jquery.min.js	D:/Vini/clapat.ro/themes/montoya/js/jquery.min.js	(from http://clapat.ro/themes/montoya/)
23:50:27	71157/71157	---M-Z	200	added ('OK')	application/javascript	etag:%2263a3f27f-6cbd%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/gsap.min.js	D:/Vini/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/gsap.min.js	(from http://clapat.ro/themes/montoya/)
23:50:28	248555/248555	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jan%202024%2007:38:58%20GMT	http://clapat.ro/themes/montoya/images/05hero.jpg	D:/Vini/clapat.ro/themes/montoya/images/05hero.jpg	(from http://clapat.ro/themes/montoya/)
23:50:30	40596/40596	---M-Z	200	added ('OK')	application/javascript	etag:%2263a3f27f-4106%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/ScrollTrigger.min.js	D:/Vini/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/ScrollTrigger.min.js	(from http://clapat.ro/themes/montoya/)
23:50:31	24875/24875	---M-Z	200	added ('OK')	application/javascript	etag:%2263a3f27f-2521%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/Flip.min.js	D:/Vini/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/Flip.min.js	(from http://clapat.ro/themes/montoya/)
23:50:33	420985/420985	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jan%202024%2007:39:31%20GMT	http://clapat.ro/themes/montoya/images/03hero.jpg	D:/Vini/clapat.ro/themes/montoya/images/03hero.jpg	(from http://clapat.ro/themes/montoya/)
23:50:33	5485/5485	---M-Z	200	added ('OK')	application/javascript	etag:%226212faf2-6f6%22	https://cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/5.0.0/imagesloaded.pkgd.min.js	D:/Vini/cdnjs.cloudflare.com/ajax/libs/jquery.imagesloaded/5.0.0/imagesloaded.pkgd.min.js	(from http://clapat.ro/themes/montoya/)
23:50:37	48032/48032	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-bba0%22	https://cdnjs.cloudflare.com/ajax/libs/smooth-scrollbar/8.4.0/smooth-scrollbar.js	D:/Vini/cdnjs.cloudflare.com/ajax/libs/smooth-scrollbar/8.4.0/smooth-scrollbar.js	(from http://clapat.ro/themes/montoya/)
23:50:38	23837/23837	---M--	200	added ('OK')	application/javascript	date:Thu,%2024%20Aug%202023%2016:37:21%20GMT	http://clapat.ro/themes/montoya/js/clapat.js	D:/Vini/clapat.ro/themes/montoya/js/clapat.js	(from http://clapat.ro/themes/montoya/)
23:50:48	66750/66750	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Jun%202023%2007:49:57%20GMT	http://clapat.ro/themes/montoya/js/plugins.js	D:/Vini/clapat.ro/themes/montoya/js/plugins.js	(from http://clapat.ro/themes/montoya/)
23:50:50	6158/6158	---M--	200	added ('OK')	application/javascript	date:Tue,%2026%20Apr%202022%2012:20:25%20GMT	http://clapat.ro/themes/montoya/js/contact.js	D:/Vini/clapat.ro/themes/montoya/js/contact.js	(from http://clapat.ro/themes/montoya/)
23:50:56	603445/603445	---M-Z	200	added ('OK')	application/javascript	etag:%2260829d5c-93535%22	https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js	D:/Vini/cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js	(from http://clapat.ro/themes/montoya/)
23:50:57	26090/26090	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Jan%202024%2009:19:30%20GMT	http://clapat.ro/themes/montoya/css/content.css	D:/Vini/clapat.ro/themes/montoya/css/content.css	(from http://clapat.ro/themes/montoya/style.css)
23:50:58	35835/35835	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Jan%202024%2009:21:46%20GMT	http://clapat.ro/themes/montoya/css/showcase.css	D:/Vini/clapat.ro/themes/montoya/css/showcase.css	(from http://clapat.ro/themes/montoya/style.css)
23:50:59	78206/78206	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Jan%202024%2007:48:02%20GMT	http://clapat.ro/themes/montoya/css/shortcodes.css	D:/Vini/clapat.ro/themes/montoya/css/shortcodes.css	(from http://clapat.ro/themes/montoya/style.css)
23:50:59	18564/18564	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Jan%202024%2010:00:32%20GMT	http://clapat.ro/themes/montoya/css/assets.css	D:/Vini/clapat.ro/themes/montoya/css/assets.css	(from http://clapat.ro/themes/montoya/style.css)
23:51:00	123556/123556	---M--	200	added ('OK')	application/javascript	date:Sun,%2028%20Jan%202024%2007:47:13%20GMT	http://clapat.ro/themes/montoya/js/common.js	D:/Vini/clapat.ro/themes/montoya/js/common.js	(from http://clapat.ro/themes/montoya/)
23:51:01	5381/5381	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Sep%202018%2022:00:17%20GMT	http://clapat.ro/themes/montoya/images/rotate.png	D:/Vini/clapat.ro/themes/montoya/images/rotate.png	(from http://clapat.ro/themes/montoya/style.css)
23:51:06	82749/82749	---M--	200	added ('OK')	application/javascript	date:Sun,%2028%20Jan%202024%2007:36:14%20GMT	http://clapat.ro/themes/montoya/js/scripts.js	D:/Vini/clapat.ro/themes/montoya/js/scripts.js	(from http://clapat.ro/themes/montoya/)
23:51:10	25452/25452	---M--	200	added ('OK')	font/woff2	date:Wed,%2029%20Nov%202023%2020:28:14%20GMT	http://clapat.ro/themes/montoya/webfonts/fa-regular-400.woff2	D:/Vini/clapat.ro/themes/montoya/webfonts/fa-regular-400.woff2	(from http://clapat.ro/themes/montoya/css/all.min.css)
23:51:20	117372/117372	---M--	200	added ('OK')	font/woff2	date:Wed,%2029%20Nov%202023%2020:28:14%20GMT	http://clapat.ro/themes/montoya/webfonts/fa-brands-400.woff2	D:/Vini/clapat.ro/themes/montoya/webfonts/fa-brands-400.woff2	(from http://clapat.ro/themes/montoya/css/all.min.css)
23:51:21	68004/68004	---M--	200	added ('OK')	font/ttf	date:Wed,%2029%20Nov%202023%2020:28:14%20GMT	http://clapat.ro/themes/montoya/webfonts/fa-regular-400.ttf	D:/Vini/clapat.ro/themes/montoya/webfonts/fa-regular-400.ttf	(from http://clapat.ro/themes/montoya/css/all.min.css)
23:51:34	207972/207972	---M--	200	added ('OK')	font/ttf	date:Wed,%2029%20Nov%202023%2020:28:14%20GMT	http://clapat.ro/themes/montoya/webfonts/fa-brands-400.ttf	D:/Vini/clapat.ro/themes/montoya/webfonts/fa-brands-400.ttf	(from http://clapat.ro/themes/montoya/css/all.min.css)
23:51:36	4792/4792	---M--	200	added ('OK')	font/woff2	date:Wed,%2029%20Nov%202023%2020:28:14%20GMT	http://clapat.ro/themes/montoya/webfonts/fa-v4compatibility.woff2	D:/Vini/clapat.ro/themes/montoya/webfonts/fa-v4compatibility.woff2	(from http://clapat.ro/themes/montoya/css/all.min.css)
23:51:38	10832/10832	---M--	200	added ('OK')	font/ttf	date:Wed,%2029%20Nov%202023%2020:28:14%20GMT	http://clapat.ro/themes/montoya/webfonts/fa-v4compatibility.ttf	D:/Vini/clapat.ro/themes/montoya/webfonts/fa-v4compatibility.ttf	(from http://clapat.ro/themes/montoya/css/all.min.css)
23:51:39	27577/27577	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:33:01%20GMT	http://clapat.ro/themes/montoya/project06.html	D:/Vini/clapat.ro/themes/montoya/project06.html	(from http://clapat.ro/themes/montoya/index-showcase-grid.html)
23:51:46	156496/156496	---M--	200	added ('OK')	font/woff2	date:Wed,%2029%20Nov%202023%2020:28:14%20GMT	http://clapat.ro/themes/montoya/webfonts/fa-solid-900.woff2	D:/Vini/clapat.ro/themes/montoya/webfonts/fa-solid-900.woff2	(from http://clapat.ro/themes/montoya/css/all.min.css)
23:51:47	27996/27996	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:33:17%20GMT	http://clapat.ro/themes/montoya/project07.html	D:/Vini/clapat.ro/themes/montoya/project07.html	(from http://clapat.ro/themes/montoya/index-showcase-grid.html)
23:52:10	138208/138208	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jan%202024%2007:39:06%20GMT	http://clapat.ro/themes/montoya/images/07hero.jpg	D:/Vini/clapat.ro/themes/montoya/images/07hero.jpg	(from http://clapat.ro/themes/montoya/index-showcase-grid.html)
23:52:12	25950/25950	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2009:33:33%20GMT	http://clapat.ro/themes/montoya/project08.html	D:/Vini/clapat.ro/themes/montoya/project08.html	(from http://clapat.ro/themes/montoya/index-showcase-grid.html)
23:52:32	419720/419720	---M--	200	added ('OK')	font/ttf	date:Wed,%2029%20Nov%202023%2020:28:14%20GMT	http://clapat.ro/themes/montoya/webfonts/fa-solid-900.ttf	D:/Vini/clapat.ro/themes/montoya/webfonts/fa-solid-900.ttf	(from http://clapat.ro/themes/montoya/css/all.min.css)
